iter	MultiClass
0	2.553243734
1	2.443811561
2	2.360667162
3	2.28189771
4	2.203841757
5	2.135037565
6	2.073996437
7	2.012066722
8	1.957398886
9	1.903647075
10	1.853980379
11	1.81535698
12	1.766875976
13	1.720324465
14	1.676857183
15	1.638391213
16	1.596224199
17	1.554981409
18	1.515832237
19	1.479794184
20	1.445936803
21	1.416374796
22	1.384743218
23	1.353541243
24	1.327485473
25	1.306758484
26	1.280513549
27	1.255033987
28	1.23082741
29	1.206027498
30	1.179683114
31	1.154831107
32	1.136653165
33	1.119417987
34	1.100641259
35	1.084172581
36	1.067181035
37	1.048999799
38	1.02993234
39	1.012011314
40	0.9951572254
41	0.9843269847
42	0.9701695532
43	0.9551621368
44	0.9406842437
45	0.9316273309
46	0.9172113555
47	0.9063863385
48	0.8930964954
49	0.8809314614
50	0.8689735261
51	0.8581771987
52	0.8461695867
53	0.8373520266
54	0.8272682217
55	0.816678066
56	0.8074710181
57	0.7972126777
58	0.7885598913
59	0.7792372071
60	0.7721332541
61	0.7615188499
62	0.7528907198
63	0.7474703901
64	0.7416675456
65	0.7362907564
66	0.7280669263
67	0.7221700247
68	0.7161041377
69	0.7102322332
70	0.7043762289
71	0.697146382
72	0.6918889848
73	0.6833797228
74	0.6765062613
75	0.6701429085
76	0.6658881113
77	0.6607101234
78	0.6559599517
79	0.6488567281
80	0.6423159111
81	0.6379097515
82	0.6333261325
83	0.629927751
84	0.6230149238
85	0.6190503184
86	0.6140923302
87	0.6112087969
88	0.6052572006
89	0.6017652892
90	0.6000764371
91	0.5966682033
92	0.5927333818
93	0.590126562
94	0.5885697503
95	0.5866310509
96	0.5842643484
97	0.5821849642
98	0.5801492104
99	0.5739483765
100	0.5675190741
101	0.5622438906
102	0.5589149887
103	0.554537424
104	0.5502892183
105	0.5475225432
106	0.5444407209
107	0.5430606163
108	0.5409056623
109	0.5389749332
110	0.5373564815
111	0.5348235467
112	0.5329959702
113	0.5300112447
114	0.5267324398
115	0.5217049398
116	0.5202673082
117	0.5161671033
118	0.5145649187
119	0.5129764371
120	0.5095256766
121	0.5066466467
122	0.5043218838
123	0.5031517302
124	0.5026226027
125	0.498033833
126	0.4958115672
127	0.494793423
128	0.4921715177
129	0.490273809
130	0.4890627179
