iter	Passed	Remaining
0	16995	3382169
1	32851	3252251
2	48536	3187200
3	64357	3153513
4	79776	3111268
5	95261	3080108
6	110818	3055425
7	126350	3032414
8	141841	3010199
9	157508	2992654
10	173282	2977307
11	188782	2957594
12	209748	3017153
13	231389	3074169
14	249634	3078822
15	269024	3093779
16	285961	3078295
17	302423	3057840
18	318913	3038068
19	336344	3027098
20	358283	3053937
21	375742	3040096
22	392375	3019586
23	408740	2997432
24	425310	2977170
25	441540	2954926
26	459335	2943151
27	478981	2942312
28	498982	2942276
29	517204	2930825
30	537675	2931198
31	554619	2911753
32	571524	2892262
33	587868	2870180
34	604352	2849090
35	621041	2829187
36	638449	2812626
37	657705	2803901
38	676895	2794361
39	700419	2801679
40	719861	2791658
41	737540	2774556
42	754460	2754659
43	772052	2737275
44	789543	2719539
45	810549	2713579
46	831899	2708097
47	853895	2704002
48	882461	2719423
49	909348	2728046
50	935332	2732638
51	962474	2739350
52	987634	2739288
53	1012732	2738128
54	1037026	2733977
55	1061524	2729634
56	1087236	2727628
57	1111459	2721159
58	1130635	2702028
59	1153003	2690340
60	1176199	2680192
61	1195471	2660887
62	1212604	2636934
63	1230279	2614344
64	1246471	2588824
65	1262338	2562930
66	1278705	2538325
67	1294941	2513710
68	1310974	2488951
69	1327057	2464534
70	1343151	2440373
71	1359363	2416646
72	1375751	2393430
73	1392190	2370485
74	1408518	2347530
75	1424798	2324671
76	1441119	2302048
77	1457125	2279094
78	1473924	2257530
79	1490551	2235827
80	1506661	2213490
81	1523276	2192032
82	1539553	2170213
83	1555827	2148523
84	1572675	2127737
85	1589132	2106524
86	1605137	2084834
87	1621158	2063292
88	1637298	2042023
89	1655235	2023065
90	1672195	2002959
91	1691185	1985304
92	1707093	1964075
93	1722460	1942348
94	1739128	1922194
95	1758022	1904524
96	1777305	1887241
97	1795574	1868863
98	1817411	1854126
99	1838935	1838935
100	1858260	1821462
101	1878195	1804541
102	1897466	1786934
103	1916358	1768946
104	1935227	1750920
105	1953773	1732591
106	1976219	1717648
107	2000107	1703795
108	2021575	1687737
109	2042831	1671407
110	2066876	1657225
111	2089140	1641467
112	2115335	1628621
113	2135137	1610717
114	2151585	1590302
115	2167983	1569919
116	2192495	1555359
117	2219005	1542020
118	2235100	1521371
119	2252922	1501948
120	2269747	1481901
121	2291685	1465175
122	2320738	1452820
123	2349103	1439773
124	2378489	1427093
125	2407513	1413936
126	2437067	1400834
127	2466061	1387159
128	2496103	1373824
129	2533037	1363943
130	2566510	1351825
